agent_id,true_alpha,MPD_alpha,true_tau,MPD_tau
1,0.9148060434963554,0.7245467027368314,2.504981378093362,2.9051894223806825
2,0.9370754132978618,0.2974424584429098,0.8686307929456234,1.0803960355469835
3,0.2861395347863436,0.6782036963485142,0.8662692438811064,0.8760837722626031
4,0.8304476260673255,0.8943582623503503,1.5557801146060228,1.8111055069062907
5,0.6417455188930035,0.679277797281325,3.7698227679356937,3.4197581938032826
6,0.5190959491301328,0.7138854775124588,3.850432055070996,3.8302517294538863
7,0.7365883146412671,0.2863504368980447,2.959421116858721,3.7715031036302826
8,0.1346665972378105,0.11569632982834037,2.9329836228862405,2.965474307976037
9,0.6569922904018313,0.7084031069911164,2.1430451599881053,2.7156704299618863
10,0.7050647840369493,0.880581844282146,0.0090918643400073,0.3867988543564296
11,0.45774177624844015,0.5768066491770858,2.4357498101890087,2.0535358581474523
12,0.7191122516524047,0.9612154398283737,3.3472062377259135,2.3447677316200872
13,0.9346722471527756,0.973445091439378,3.0060902507975698,3.980688008537597
14,0.2554288243409246,0.4106437809487965,1.810926290228963,1.03700668841769
15,0.46229282254353166,0.6425424730004232,2.143159975297749,1.5415874452691947
16,0.9400145227555186,0.9511954364359845,2.1495067812502384,2.3075434917020763
17,0.978226428385824,0.700213758649374,0.00552337430417537,0.24967703312404427
18,0.11748736165463924,0.8136889620270282,1.422663815319538,0.5379215958725792
19,0.47499708156101406,0.46231794062632103,2.4485323606058955,1.9088414754180358
20,0.560332746244967,0.58596206310636,3.315768522210419,2.9610779051132683
21,0.9040313872974366,0.18557182823924004,1.4268879974260926,1.479210576994608
22,0.13871016772463918,0.18507534885957214,1.6425405032932758,1.4191377159480123
23,0.988891728920862,0.8444414387557136,2.2939035957679152,2.282780217307382
24,0.9466682325582952,0.809106828437434,2.3587132142856717,2.7862228623282594
25,0.0824375580996275,0.08163798732841906,2.8786291694268584,1.930106030822901
26,0.5142117843497545,0.8235281616424558,1.5798921808600426,1.1946823119357413
27,0.390203467104584,0.2578854620593606,3.676815716549754,2.5735014502240827
28,0.905738130910322,0.7331542160641977,3.8502811742946506,3.7585020664894806
29,0.4469696281012148,0.6978393355281678,0.9340941021218896,0.6396148283334502
30,0.8360042599961162,0.923854710251753,2.8979903999716043,2.2282796663909465
31,0.7375956177711487,0.7646715726118054,3.614538100548089,5.799940230737193
32,0.811055141268298,0.9431394138040142,2.413896339014173,2.476416260917894
33,0.388108282815665,0.9253030338319168,2.526029195636511,1.6151537008701864
34,0.6851697294041514,0.8716385832599336,3.749543398618698,5.6095280765419675
