choices,feedback,value1,value2,role,trial,alpha,tau,hider_choices,agent_id
1,1,0.5,0.5,picker,1,0.9148060434963554,4.685377066489309,1,1
1,1,0.9574030217481777,0.5,picker,2,0.9148060434963554,4.685377066489309,1,1
1,1,0.9963709948876276,0.5,picker,3,0.9148060434963554,4.685377066489309,1,1
1,1,0.999690830696305,0.5,picker,4,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999736606437888,0.5,picker,5,0.9148060434963554,4.685377066489309,1,1
1,0,0.9999977560460326,0.5,picker,6,0.9148060434963554,4.685377066489309,0,1
1,1,0.08519376533232792,0.5,picker,7,0.9148060434963554,4.685377066489309,1,1
1,0,0.9220640374344594,0.5,picker,8,0.9148060434963554,4.685377066489309,0,1
0,0,0.07855428349876625,0.5,picker,9,0.9148060434963554,4.685377066489309,1,1
1,0,0.07855428349876625,0.04259697825182229,picker,10,0.9148060434963554,4.685377066489309,0,1
1,0,0.006692350211568859,0.04259697825182229,picker,11,0.9148060434963554,4.685377066489309,0,1
0,0,5.701477928315539e-4,0.04259697825182229,picker,12,0.9148060434963554,4.685377066489309,1,1
1,1,5.701477928315539e-4,0.0036290051123724423,picker,13,0.9148060434963554,4.685377066489309,1,1
1,1,0.9148546166426186,0.0036290051123724423,picker,14,0.9148060434963554,4.685377066489309,1,1
1,1,0.992746127913765,0.0036290051123724423,picker,15,0.9148060434963554,4.685377066489309,1,1
1,1,0.9993820139370023,0.0036290051123724423,picker,16,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999473513222291,0.0036290051123724423,picker,17,0.9148060434963554,4.685377066489309,1,1
1,1,0.999995514650836,0.0036290051123724423,picker,18,0.9148060434963554,4.685377066489309,1,1
1,0,0.9999996178753584,0.0036290051123724423,picker,19,0.9148060434963554,4.685377066489309,0,1
1,1,0.08519392394893444,0.0036290051123724423,picker,20,0.9148060434963554,4.685377066489309,1,1
1,1,0.9220640509476358,0.0036290051123724423,picker,21,0.9148060434963554,4.685377066489309,1,1
1,1,0.9933603281463627,0.0036290051123724423,picker,22,0.9148060434963554,4.685377066489309,1,1
1,0,0.9994343400849027,0.0036290051123724423,picker,23,0.9148060434963554,4.685377066489309,0,1
0,1,0.08514576569744192,0.0036290051123724423,picker,24,0.9148060434963554,4.685377066489309,0,1
0,0,0.08514576569744192,0.9151152128000504,picker,25,0.9148060434963554,4.685377066489309,1,1
0,0,0.08514576569744192,0.07796228563511098,picker,26,0.9148060434963554,4.685377066489309,1,1
0,0,0.08514576569744192,0.006641915571322363,picker,27,0.9148060434963554,4.685377066489309,1,1
1,1,0.08514576569744192,5.658510662841171e-4,picker,28,0.9148060434963554,4.685377066489309,1,1
1,1,0.9220599481556528,5.658510662841171e-4,picker,29,0.9148060434963554,4.685377066489309,1,1
1,1,0.9933599786132808,5.658510662841171e-4,picker,30,0.9148060434963554,4.685377066489309,1,1
1,1,0.9994343103067965,5.658510662841171e-4,picker,31,0.9148060434963554,4.685377066489309,1,1
1,0,0.9999518066568827,5.658510662841171e-4,picker,32,0.9148060434963554,4.685377066489309,0,1
0,0,0.0851898507220673,5.658510662841171e-4,picker,33,0.9148060434963554,4.685377066489309,1,1
1,1,0.0851898507220673,4.820709112855e-5,picker,34,0.9148060434963554,4.685377066489309,1,1
1,1,0.9220637039333232,4.820709112855e-5,picker,35,0.9148060434963554,4.685377066489309,1,1
1,1,0.9933602985828404,4.820709112855e-5,picker,36,0.9148060434963554,4.685377066489309,1,1
1,1,0.9994343375662693,4.820709112855e-5,picker,37,0.9148060434963554,4.685377066489309,1,1
1,1,0.999951808979225,4.820709112855e-5,picker,38,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999958944162722,4.820709112855e-5,picker,39,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999996502290784,4.820709112855e-5,picker,40,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999999702016313,4.820709112855e-5,picker,41,0.9148060434963554,4.685377066489309,1,1
1,1,0.999999997461359,4.820709112855e-5,picker,42,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999999997837231,4.820709112855e-5,picker,43,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999999999815745,4.820709112855e-5,picker,44,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999999999984303,4.820709112855e-5,picker,45,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999999999998662,4.820709112855e-5,picker,46,0.9148060434963554,4.685377066489309,1,1
1,0,0.9999999999999886,4.820709112855e-5,picker,47,0.9148060434963554,4.685377066489309,0,1
1,1,0.08519395650364359,4.820709112855e-5,picker,48,0.9148060434963554,4.685377066489309,1,1
1,1,0.9220640537211002,4.820709112855e-5,picker,49,0.9148060434963554,4.685377066489309,1,1
1,1,0.993360328382645,4.820709112855e-5,picker,50,0.9148060434963554,4.685377066489309,1,1
1,1,0.9994343401050326,4.820709112855e-5,picker,51,0.9148060434963554,4.685377066489309,1,1
1,0,0.9999518091955123,4.820709112855e-5,picker,52,0.9148060434963554,4.685377066489309,0,1
0,0,0.08518985093834319,4.820709112855e-5,picker,53,0.9148060434963554,4.685377066489309,1,1
