trial,value1_median,value2_median,value1_3rd_quartile,value2_3rd_quartile,value1_1st_quartile,value2_1st_quartile,hider_choice
84,0.99986,0.01706005,1,0.12803474999999997,0.984148,6.450565e-4,1
85,0.999932,0.01706005,1,0.12803474999999997,0.9879574999999999,6.450565e-4,1
86,0.999967,0.01706005,1,0.12803474999999997,0.990852,6.450565e-4,1
87,0.999984,0.01706005,1,0.12803474999999997,0.9930505000000001,6.450565e-4,1
88,0.999992,0.01706005,1,0.12803474999999997,0.99472075,6.450565e-4,1
89,0.999996,0.01706005,1,0.12803474999999997,0.9959897499999999,6.450565e-4,1
90,0.999998,0.01706005,1,0.12803474999999997,0.99695325,6.450565e-4,1
91,0.999999,0.01706005,1,0.12803474999999997,0.99768525,6.450565e-4,1
92,1,0.01706005,1,0.12803474999999997,0.9982415,6.450565e-4,1
93,1,0.01706005,1,0.12803474999999997,0.9986645000000001,6.450565e-4,1
94,1,0.00832996,1,0.097262875,0.9986645000000001,1.56325e-4,0
95,0.488273,0.00832996,0.73115475,0.097262875,0.242343,1.56325e-4,0
96,0.2384105,0.00832996,0.567032,0.097262875,0.058730300000000006,1.56325e-4,1
97,0.2384105,0.004067295,0.567032,0.073887,0.058730300000000006,3.7884375000000004e-5,1
98,0.7190715,0.004067295,0.8171047499999999,0.073887,0.64259825,3.7884375000000004e-5,1
99,0.8359285000000001,0.004067295,0.94471875,0.073887,0.776331,3.7884375000000004e-5,1
100,0.911344,0.004067295,0.98660325,0.073887,0.8348804999999999,3.7884375000000004e-5,1
101,0.9567114999999999,0.004067295,0.99675375,0.073887,0.862195,3.7884375000000004e-5,1
102,0.9788635000000001,0.004067295,0.9992135,0.073887,0.89281225,3.7884375000000004e-5,1
103,0.9788635000000001,0.00198595,0.9992135,0.056129200000000004,0.89281225,9.181037499999998e-6,1
104,0.98968,0.00198595,0.99980925,0.056129200000000004,0.91857375,9.181037499999998e-6,1
105,0.994961,0.00198595,0.999954,0.056129200000000004,0.9381437499999999,9.181037499999998e-6,0
106,0.4858125,0.00198595,0.6970235,0.056129200000000004,0.242332,9.181037499999998e-6,0
