trial,value1_median,value2_median,value1_3rd_quartile,value2_3rd_quartile,value1_1st_quartile,value2_1st_quartile,hider_choice
66,0.4286695,0.0895425,0.6202369999999999,0.22561299999999998,0.23156,0.013399199999999998,1
67,0.4286695,0.0437212,0.6202369999999999,0.1713895,0.23156,0.0032472125,1
68,0.4286695,0.02134785,0.6202369999999999,0.13019875,0.23156,7.869402500000001e-4,0
69,0.209308,0.02134785,0.48884025000000003,0.13019875,0.05611695,7.869402500000001e-4,1
70,0.6701745,0.02134785,0.7712565,0.13019875,0.6075075,7.869402500000001e-4,1
71,0.8114905,0.02134785,0.9445655,0.13019875,0.7185604999999999,7.869402500000001e-4,1
72,0.907956,0.02134785,0.9865655,0.13019875,0.77591225,7.869402500000001e-4,1
73,0.955057,0.02134785,0.9967447500000001,0.13019875,0.829769,7.869402500000001e-4,1
74,0.9780555,0.02134785,0.99921075,0.13019875,0.8706820000000001,7.869402500000001e-4,1
75,0.9892855,0.02134785,0.999809,0.13019875,0.901762,7.869402500000001e-4,1
76,0.99476849999999994,0.02134785,0.999954,0.13019875,0.9253724999999999,7.869402500000001e-4,1
77,0.9974455,0.02134785,0.999989,0.13019875,0.94330825,7.869402500000001e-4,1
78,0.9987525,0.02134785,0.999997,0.13019875,0.9569329999999999,7.869402500000001e-4,1
79,0.9993909999999999,0.02134785,0.999999,0.13019875,0.96728375,7.869402500000001e-4,1
80,0.9997024999999999,0.02134785,1,0.13019875,0.9751465,7.869402500000001e-4,1
81,0.999855,0.02134785,1,0.13019875,0.98112025,7.869402500000001e-4,1
82,0.999929,0.02134785,1,0.13019875,0.98565775,7.869402500000001e-4,1
83,0.999965,0.02134785,1,0.13019875,0.9891045,7.869402500000001e-4,1
84,0.999983,0.02134785,1,0.13019875,0.991723,7.869402500000001e-4,1
85,0.999992,0.02134785,1,0.13019875,0.9937122500000001,7.869402500000001e-4,1
86,0.999996,0.02134785,1,0.13019875,0.9952235,7.869402500000001e-4,1
87,0.999998,0.02134785,1,0.13019875,0.9963717499999999,7.869402500000001e-4,1
88,0.999999,0.02134785,1,0.13019875,0.9972432499999999,7.869402500000001e-4,1
89,1,0.02134785,1,0.13019875,0.99790625,7.869402500000001e-4,1
90,1,0.02134785,1,0.13019875,0.9984092500000001,7.869402500000001e-4,1
91,1,0.02134785,1,0.13019875,0.9987915,7.869402500000001e-4,1
92,1,0.02134785,1,0.13019875,0.99908175,7.869402500000001e-4,1
93,1,0.02134785,1,0.13019875,0.99930275,7.869402500000001e-4,1
94,1,0.02134785,1,0.13019875,0.99947,7.869402500000001e-4,0
95,0.488273,0.02134785,0.73202,0.13019875,0.242343,7.869402500000001e-4,0
96,0.2384105,0.02134785,0.56794875,0.13019875,0.058730300000000006,7.869402500000001e-4,1
97,0.2384105,0.0104236,0.56794875,0.09890695,0.058730300000000006,1.9070975000000002e-4,1
98,0.7192115,0.0104236,0.8192312500000001,0.09890695,0.64273775,1.9070975000000002e-4,1
99,0.838152,0.0104236,0.94471875,0.09890695,0.77688125,1.9070975000000002e-4,1
100,0.911344,0.0104236,0.98660325,0.09890695,0.83622275,1.9070975000000002e-4,1
101,0.9567114999999999,0.0104236,0.99675375,0.09890695,0.864505,1.9070975000000002e-4,1
